楽曲名,ジャンル,譜面定数,難易度,配信日,ジャケット画像名
Baphomet,オリジナル,14.4,INFLUENCE,2024/12/11,images/0000/img0001.png
Baphomet,オリジナル,12.6,HARD,2024/12/11,images/0000/img0001.png
Baphomet,オリジナル,8,NORMAL,2024/12/11,images/0000/img0001.png
Baphomet,オリジナル,4,EASY,2024/12/11,images/0000/img0001.png
Λkasha,オリジナル,14.3,INFLUENCE,2026/2/19,images/0000/img0002.png
Λkasha,オリジナル,12.9,HARD,2026/2/19,images/0000/img0002.png
Λkasha,オリジナル,8,NORMAL,2026/2/19,images/0000/img0002.png
Λkasha,オリジナル,4,EASY,2026/2/19,images/0000/img0002.png
neu,オリジナル,14,INFLUENCE,2025/12/18,images/0000/img0003.png
neu,オリジナル,12.4,HARD,2025/12/18,images/0000/img0003.png
neu,オリジナル,8,NORMAL,2025/12/18,images/0000/img0003.png
neu,オリジナル,4,EASY,2025/12/18,images/0000/img0003.png
Crescent:Letter,オリジナル,14,INFLUENCE,2025/12/11,images/0000/img0004.png
Crescent:Letter,オリジナル,12.5,HARD,2025/12/11,images/0000/img0004.png
Crescent:Letter,オリジナル,8,NORMAL,2025/12/11,images/0000/img0004.png
Crescent:Letter,オリジナル,4,EASY,2025/12/11,images/0000/img0004.png
while (screen is blue),オリジナル,13.9,INFLUENCE,2026/2/19,images/0000/img0005.png
while (screen is blue),オリジナル,12.7,HARD,2026/2/19,images/0000/img0005.png
while (screen is blue),オリジナル,7,NORMAL,2026/2/19,images/0000/img0005.png
while (screen is blue),オリジナル,3,EASY,2026/2/19,images/0000/img0005.png
Smintheus,オリジナル,13.9,INFLUENCE,2026/6/18,images/0000/img0006.png
Smintheus,オリジナル,11.7,HARD,2026/6/18,images/0000/img0006.png
Smintheus,オリジナル,8,NORMAL,2026/6/18,images/0000/img0006.png
Smintheus,オリジナル,4,EASY,2026/6/18,images/0000/img0006.png
IX,オリジナル,13.9,INFLUENCE,2026/1/8,images/0000/img0007.png
IX,オリジナル,11.8,HARD,2026/1/8,images/0000/img0007.png
IX,オリジナル,8,NORMAL,2026/1/8,images/0000/img0007.png
IX,オリジナル,3,EASY,2026/1/8,images/0000/img0007.png
Dyscontrolled Galaxy,オリジナル,13.9,INFLUENCE,2025/5/1,images/0000/img0008.png
Dyscontrolled Galaxy,オリジナル,11.7,HARD,2025/5/1,images/0000/img0008.png
Dyscontrolled Galaxy,オリジナル,8,NORMAL,2025/5/1,images/0000/img0008.png
Dyscontrolled Galaxy,オリジナル,4,EASY,2025/5/1,images/0000/img0008.png
神威,バラエティ,13.8,INFLUENCE,2024/9/19,images/0000/img0009.png
神威,バラエティ,12.2,HARD,2024/9/19,images/0000/img0009.png
神威,バラエティ,8,NORMAL,2024/9/19,images/0000/img0009.png
神威,バラエティ,4,EASY,2024/9/19,images/0000/img0009.png
Saiph,オリジナル,13.8,INFLUENCE,2025/12/11,images/0000/img0010.png
Saiph,オリジナル,11.9,HARD,2025/12/11,images/0000/img0010.png
Saiph,オリジナル,7,NORMAL,2025/12/11,images/0000/img0010.png
Saiph,オリジナル,3,EASY,2025/12/11,images/0000/img0010.png
STULTI,オリジナル,13.8,INFLUENCE,2025/3/27,images/0000/img0011.png
STULTI,オリジナル,11.4,HARD,2025/3/27,images/0000/img0011.png
STULTI,オリジナル,7,NORMAL,2025/3/27,images/0000/img0011.png
STULTI,オリジナル,3,EASY,2025/3/27,images/0000/img0011.png
RUINA,オリジナル,13.8,INFLUENCE,2026/3/26,images/0000/img0012.png
RUINA,オリジナル,11.8,HARD,2026/3/26,images/0000/img0012.png
RUINA,オリジナル,8,NORMAL,2026/3/26,images/0000/img0012.png
RUINA,オリジナル,3,EASY,2026/3/26,images/0000/img0012.png
PUPA,バラエティ,13.8,INFLUENCE,2024/4/4,images/0000/img0013.png
PUPA,バラエティ,11.5,HARD,2024/4/4,images/0000/img0013.png
PUPA,バラエティ,8,NORMAL,2024/4/4,images/0000/img0013.png
PUPA,バラエティ,4,EASY,2024/4/4,images/0000/img0013.png
L,バラエティ,13.8,INFLUENCE,2025/3/27,images/0000/img0014.png
L,バラエティ,10.5,HARD,2025/3/27,images/0000/img0014.png
L,バラエティ,6,NORMAL,2025/3/27,images/0000/img0014.png
L,バラエティ,4,EASY,2025/3/27,images/0000/img0014.png
Ghost Family Living In Graveyard,オリジナル,13.8,INFLUENCE,2025/7/10,images/0000/img0015.png
Ghost Family Living In Graveyard,オリジナル,11.6,HARD,2025/7/10,images/0000/img0015.png
Ghost Family Living In Graveyard,オリジナル,7,NORMAL,2025/7/10,images/0000/img0015.png
Ghost Family Living In Graveyard,オリジナル,4,EASY,2025/7/10,images/0000/img0015.png
DISTORDER,オリジナル,13.8,INFLUENCE,2025/12/11,images/0000/img0016.png
DISTORDER,オリジナル,11.8,HARD,2025/12/11,images/0000/img0016.png
DISTORDER,オリジナル,8,NORMAL,2025/12/11,images/0000/img0016.png
DISTORDER,オリジナル,4,EASY,2025/12/11,images/0000/img0016.png
